roll,legal,address,land_area,land_area_unit,subdivision,zoning,linc_number,market_land_site_area,market_land_site_area_unit,year_of_assessment,assessment_value,street_number,route,locality,administrative_area_level_1,administrative_area_level_2,country,postal_code,latitude,longitude
1551021,7621460 2 12 SW-17-58-23-4,4 GREENWOOD ROAD,3.07,Acres,Sturgeon County,COUNTRY RESIDENTIAL-ONE,,3.07,Acres,2014,"238,820",4,Greenwood Place,Saint Albert,Alberta,Division No. 11,Canada,T8N 2H5,53.62876800000001,-113.624105
1551022,7621460 2 13 SW-17-58-23-4,2 GREENWOOD ROAD,3.07,Acres,Sturgeon County,COUNTRY RESIDENTIAL-ONE,,3.07,Acres,2014,"203,700",2,Greenwood Place,Saint Albert,Alberta,Division No. 11,Canada,T8N 2H5,53.628911,-113.624619
1551023,7621460 2 R-14,,0.54,Acres,Sturgeon County,COUNTRY RESIDENTIAL-ONE,,0.54,Acres,2014,"18,710",,,,,,,,,
1551024,7621460 3 1 SW-17-58-23-4,15 GREENWOOD ROAD,4.06,Acres,Sturgeon County,COUNTRY RESIDENTIAL-ONE,,4.06,Acres,2014,"127,220",15,Greenwood Road,Legal,Alberta,Division No. 11,Canada,T0G 1L0,54.0125332,-113.3876833
1551025,7621460 3 2 SW-17-58-23-4,13 GREENWOOD ROAD,4.07,Acres,Sturgeon County,COUNTRY RESIDENTIAL-ONE,,4.07,Acres,2014,"188,680",13,Greenwood Road,Legal,Alberta,Division No. 11,Canada,T0G 1L0,54.0118137,-113.3876808
1551026,7621460 3 3 SW-17-58-23-4,11 GREENWOOD ROAD,3.10,Acres,Sturgeon County,COUNTRY RESIDENTIAL-ONE,,3.10,Acres,2014,"177,240",11,Greenwood Place,Saint Albert,Alberta,Division No. 11,Canada,T8N 2H5,53.627982,-113.6236403
1551027,7621460 3 4 SW-17-58-23-4,9 GREENWOOD ROAD,3.10,Acres,Sturgeon County,COUNTRY RESIDENTIAL-ONE,,3.10,Acres,2014,"88,090",9,Greenwood Place,Saint Albert,Alberta,Division No. 11,Canada,T8N 2H5,53.62814299999999,-113.623102
1551028,7621460 3 5 SW-17-58-23-4,7 GREENWOOD ROAD,3.17,Acres,Sturgeon County,COUNTRY RESIDENTIAL-ONE,,3.17,Acres,2014,"250,150",7,Greenwood Place,Saint Albert,Alberta,Division No. 11,Canada,T8N 2H5,53.628531,-113.623328
1551029,7621460 3 6 SW-17-58-23-4,5 GREENWOOD ROAD,3.17,Acres,Sturgeon County,COUNTRY RESIDENTIAL-ONE,,3.17,Acres,2014,"343,140",5,Greenwood Place,Saint Albert,Alberta,Division No. 11,Canada,T8N 2H5,53.628696,-113.623866
1551030,7621460 3 7 SW-17-58-23-4,3 GREENWOOD ROAD,3.03,Acres,Sturgeon County,COUNTRY RESIDENTIAL-ONE,,3.03,Acres,2014,"287,330",3,Greenwood Place,Saint Albert,Alberta,Division No. 11,Canada,T8N 2H5,53.62876139999999,-113.6244911
1551031,7621460 3 8 SW-17-58-23-4,1 GREENWOOD ROAD,3.17,Acres,Sturgeon County,COUNTRY RESIDENTIAL-ONE,,3.17,Acres,2014,"286,630",1,Greenwood Place,Saint Albert,Alberta,Division No. 11,Canada,T8N 2H5,53.6289609,-113.624966
1551032,7621460 3 R-9,,0.13,Acres,Sturgeon County,COUNTRY RESIDENTIAL-ONE,,0.13,Acres,2014,"4,500",,,,,,,,,
1551033,7621460 4 1 SW-17-58-23-4,19 GREENWOOD ROAD,3.66,Acres,Sturgeon County,COUNTRY RESIDENTIAL-ONE,,3.66,Acres,2014,"243,620",19,Greenwood Road,Legal,Alberta,Division No. 11,Canada,T0G 1L0,54.01432819999999,-113.3874755
1551034,7621460 4 2 SW-17-58-23-4,17 GREENWOOD ROAD,3.65,Acres,Sturgeon County,COUNTRY RESIDENTIAL-ONE,,3.65,Acres,2014,"94,070",17,Greenwood Road,Legal,Alberta,Division No. 11,Canada,T0G 1L0,54.0128934,-113.3876821
1551035,7922423 1 10 SW-17-58-23-4,49 RICHFIELD ROAD,2.47,Acres,Sturgeon County,COUNTRY RESIDENTIAL-ONE,,2.47,Acres,2014,"188,480",49,Richfield Road,Legal,Alberta,Division No. 11,Canada,T0G 1L0,54.00767,-113.3936841
1551036,7922423 1 11 SW-17-58-23-4,47 RICHFIELD ROAD,2.47,Acres,Sturgeon County,COUNTRY RESIDENTIAL-ONE,,2.47,Acres,2014,"368,730",47,Richfield Road,Legal,Alberta,Division No. 11,Canada,T0G 1L0,54.0082423,-113.393684
